Name,Description,Attribute,GrowthFunction,Base,Weight,Decimals,Hidden,Percent,Display
Accuracy,How likely you are to hit an opponent in combat.,Agility,linear,60,1,0,-,TRUE,Offence
Adventuring,Your skill at exploring new places. This increases your likelihood of finding items when exploring.,Fortuity,linear,0,5,0,-,TRUE,Exploration
Axe,This adds bonus damage when fighting with an axe.,None,linear,0,0,0,TRUE,TRUE,Weaponry
Bartering,Your skill at negotiating prices. It reduces the price you pay when buying any item from a vendor.,Charisma,linear,0,2,0,-,TRUE,Interaction
Block,Skill with a shield. If a shield is equipped then the amount of damage blocked is increased.,Resilience,linear,0,2,0,-,TRUE,Defence
Block amount,Amount of damage absorbed when a shield successfully blocks,None,linear,0,0,0,TRUE,TRUE,Defence
Blunt,Skill with blunt weapons,None,linear,0,0,0,TRUE,TRUE,Weaponry
Caution level,How much detail is revealed of a location before you visit it.,None,linear,0,0,0,TRUE,FALSE,Exploration
Charm,How likeable you are. It increases the speed of how quickly people begin to trust you.,Charisma,linear,0,5,0,-,TRUE,Interaction
Climbing ability,The higher your climbing skill then the more difficult mountains you may climb.,None,linear,0,0,0,TRUE,FALSE,Exploration
Combat,Your proficiency in fighting. The greater combat proficiency you have then the more damage you do with any attack.,Brawn,linear,1,1,0,-,FALSE,None
Courage,How capable you are of overcoming your fears. The greater your courage then the greater the obstacles you will be capable of facing.,Willpower,linear,0,1,0,-,FALSE,Mental
Dagger,Skill with daggers,None,linear,0,0,0,TRUE,TRUE,Weaponry
Defence,Your ability to take physical damage. This combines with your armour to reduce all physical damaged received.,Resilience,linear,0,1,0,-,TRUE,Defence
Detection,Determines the chance that you will uncover enemy traps and ambushes.,Survivalism,linear,0,3,0,-,TRUE,Exploration
Devotion,How religious you are,None,linear,0,0,0,TRUE,FALSE,Mental
Dualism,How quickly you are able to change your virtue.,None,linear,0,2,0,FALSE,TRUE,Mental
Encumbrance,Your ability to fight in combat while carrying cumbersome gear.,Brawn,linear,0,5,0,-,TRUE,Offence
Endurance,Number of actions you can perform each day.,Resilience,linear,5,0.5,0,-,FALSE,Exploration
